# f1	f2
3.37948792731503 -26.3415889473441
-18.716451338081 -23.5229013791079
-19.1400409642067 -23.2795914446853
119.691081014091 -32.7974963030968
-20.8701618759777 -23.0692382906694
112.601340245337 -31.9623337029835
24.1417398398817 -27.9365957736871
112.658938413637 -32.2082098075706
96.7945408911137 -30.5510021873028
-39.1334827472255 -19.9730224885065
-19.4401851958597 -23.2288078334494
41.3993398335857 -28.4606201862199
115.762713015286 -32.3820303359906
99.522498967614 -30.8161742844372
94.1877914941904 -30.2781028422406
115.758009431429 -32.325790401311
-26.6204446710072 -22.8637870586801
104.945609130735 -31.5613916025289
106.587053462085 -31.6911811683833
10.5505391267692 -26.8451224340489
120.451698704309 -32.8392397159295
93.827623741642 -30.131413607827
35.4883188011933 -28.2033748552464
1.98871562782582 -24.4444204374103
-20.5165239336094 -23.119580082447
86.0737803148387 -28.5450147960685
87.5649764503971 -28.8193249832771
92.3812416077854 -29.6451699726314
98.7196577367526 -30.6634987826788
-15.4796307550828 -23.9900508529473
104.975006046354 -31.5708744261333
-8.83559507580598 -24.0914728403943
27.9580058529132 -28.0361806412194
116.649608584554 -32.4916625405113

-27.0901986666176 -22.3797728488332
-10.5110373758813 -25.1081626340329
20.4835546758883 -28.0626415309917
17.6140883762384 -27.9152923769584
38.4469110115475 -29.2619806087433
13.2966314683637 -27.096416863223
-0.184074975561863 -26.2439702777797
-32.9692979273147 -19.4237687070464
-20.9342454783223 -23.5965616946585
68.3123383919184 -30.6665448964249
-28.6347227874567 -21.9819913358596
139.355907425345 -33.6731802212571
-29.1507823693935 -21.6504387324364
43.7906968411684 -29.403529568256
67.5764323188817 -30.5507661185516
-10.9549885219288 -24.8917415654255
32.3021012048679 -28.944705035632
-24.0881875420572 -23.1279162505975
29.4810926751282 -28.7034813566944
93.1577342384629 -31.83144619454
38.3757300640339 -29.1786073632331
84.3860024576433 -31.4144094800097
117.255258093193 -32.63189015794
107.244170991444 -32.46767916916
126.570850682972 -33.3464704931103
114.822072243652 -32.5001976007026
124.77272440394 -33.2683970699877
20.7122731788529 -28.2618988091062
4.35137267068823 -27.0525849228036
62.7054310102209 -30.0304424668089
-14.8729057514373 -23.9594355204418
